Question,Answer
Danger sign 15,"Seek immediate medical care for: heavy bleeding, severe headache with vision changes, convulsions/fits, severe abdominal pain, no fetal movement, water breaking before 37 weeks, high fever, or difficulty breathing. Call 112/193 for ambulance if needed. Don't delay - quick action saves lives."
Danger sign 16,"Seek immediate medical care for: heavy bleeding, severe headache with vision changes, convulsions/fits, severe abdominal pain, no fetal movement, water breaking before 37 weeks, high fever, or difficulty breathing. Call 112/193 for ambulance if needed. Don't delay - quick action saves lives."
Danger sign 17,"Seek immediate medical care for: heavy bleeding, severe headache with vision changes, convulsions/fits, severe abdominal pain, no fetal movement, water breaking before 37 weeks, high fever, or difficulty breathing. Call 112/193 for ambulance if needed. Don't delay - quick action saves lives."
Danger sign 18,"Seek immediate medical care for: heavy bleeding, severe headache with vision changes, convulsions/fits, severe abdominal pain, no fetal movement, water breaking before 37 weeks, high fever, or difficulty breathing. Call 112/193 for ambulance if needed. Don't delay - quick action saves lives."
Danger sign 19,"Seek immediate medical care for: heavy bleeding, severe headache with vision changes, convulsions/fits, severe abdominal pain, no fetal movement, water breaking before 37 weeks, high fever, or difficulty breathing. Call 112/193 for ambulance if needed. Don't delay - quick action saves lives."
Danger sign 20,"Seek immediate medical care for: heavy bleeding, severe headache with vision changes, convulsions/fits, severe abdominal pain, no fetal movement, water breaking before 37 weeks, high fever, or difficulty breathing. Call 112/193 for ambulance if needed. Don't delay - quick action saves lives."
Danger sign 21,"Seek immediate medical care for: heavy bleeding, severe headache with vision changes, convulsions/fits, severe abdominal pain, no fetal movement, water breaking before 37 weeks, high fever, or difficulty breathing. Call 112/193 for ambulance if needed. Don't delay - quick action saves lives."
Danger sign 22,"Seek immediate medical care for: heavy bleeding, severe headache with vision changes, convulsions/fits, severe abdominal pain, no fetal movement, water breaking before 37 weeks, high fever, or difficulty breathing. Call 112/193 for ambulance if needed. Don't delay - quick action saves lives."
Danger sign 23,"Seek immediate medical care for: heavy bleeding, severe headache with vision changes, convulsions/fits, severe abdominal pain, no fetal movement, water breaking before 37 weeks, high fever, or difficulty breathing. Call 112/193 for ambulance if needed. Don't delay - quick action saves lives."
Danger sign 24,"Seek immediate medical care for: heavy bleeding, severe headache with vision changes, convulsions/fits, severe abdominal pain, no fetal movement, water breaking before 37 weeks, high fever, or difficulty breathing. Call 112/193 for ambulance if needed. Don't delay - quick action saves lives."
Danger sign 25,"Seek immediate medical care for: heavy bleeding, severe headache with vision changes, convulsions/fits, severe abdominal pain, no fetal movement, water breaking before 37 weeks, high fever, or difficulty breathing. Call 112/193 for ambulance if needed. Don't delay - quick action saves lives."
Danger sign 26,"Seek immediate medical care for: heavy bleeding, severe headache with vision changes, convulsions/fits, severe abdominal pain, no fetal movement, water breaking before 37 weeks, high fever, or difficulty breathing. Call 112/193 for ambulance if needed. Don't delay - quick action saves lives."
Danger sign 27,"Seek immediate medical care for: heavy bleeding, severe headache with vision changes, convulsions/fits, severe abdominal pain, no fetal movement, water breaking before 37 weeks, high fever, or difficulty breathing. Call 112/193 for ambulance if needed. Don't delay - quick action saves lives."
Danger sign 28,"Seek immediate medical care for: heavy bleeding, severe headache with vision changes, convulsions/fits, severe abdominal pain, no fetal movement, water breaking before 37 weeks, high fever, or difficulty breathing. Call 112/193 for ambulance if needed. Don't delay - quick action saves lives."
Danger sign 29,"Seek immediate medical care for: heavy bleeding, severe headache with vision changes, convulsions/fits, severe abdominal pain, no fetal movement, water breaking before 37 weeks, high fever, or difficulty breathing. Call 112/193 for ambulance if needed. Don't delay - quick action saves lives."
Danger sign 30,"Seek immediate medical care for: heavy bleeding, severe headache with vision changes, convulsions/fits, severe abdominal pain, no fetal movement, water breaking before 37 weeks, high fever, or difficulty breathing. Call 112/193 for ambulance if needed. Don't delay - quick action saves lives."
Danger sign 31,"Seek immediate medical care for: heavy bleeding, severe headache with vision changes, convulsions/fits, severe abdominal pain, no fetal movement, water breaking before 37 weeks, high fever, or difficulty breathing. Call 112/193 for ambulance if needed. Don't delay - quick action saves lives."
Danger sign 32,"Seek immediate medical care for: heavy bleeding, severe headache with vision changes, convulsions/fits, severe abdominal pain, no fetal movement, water breaking before 37 weeks, high fever, or difficulty breathing. Call 112/193 for ambulance if needed. Don't delay - quick action saves lives."
